"ngrams","Freq"
"it a state crime to be in the country illegally",34
"every one that fell on the new york stock exchange",28
"for every one that fell on the new york stock",28
"rose for every one that fell on the new york",28
"makes it a state crime to be in the country",26
"on condition of anonymity because they were not authorized to",25
"stocks rose for every one that fell on the new",24
"about a person's legal status when reasonable suspicion exists that",21
"ask about a person's legal status when reasonable suspicion exists",21
"spoke on condition of anonymity because they were not authorized",20
"a person's legal status when reasonable suspicion exists that the",19
"every one that rose on the new york stock exchange",19
"fell for every one that rose on the new york",19
"for every one that rose on the new york stock",19
"legal status when reasonable suspicion exists that the person is",19
"on condition of anonymity because of the sensitivity of the",19
"person's legal status when reasonable suspicion exists that the person",19
"status when reasonable suspicion exists that the person is in",19
"stocks fell for every one that rose on the new",19
"when reasonable suspicion exists that the person is in the",19
"on condition of anonymity because he was not authorized to",18
"including a charge that he tried to pay a judge",17
"taken to robert wood johnson university hospital in new brunswick",17
"the address of each property is followed by the price",17
"of the port authority of new york and new jersey",16
"reasonable suspicion exists that the person is in the u",16
"was lodged in the cumberland county jail in lieu of",16
"was taken to robert wood johnson university hospital in new",16
"spoke on condition of anonymity because he was not authorized",15
"7 daily state parks pass is required for all vehicles",14
"a decade of conflict abroad and economic crisis at home",14
"daily state parks pass is required for all vehicles entering",14
"emerge from a decade of conflict abroad and economic crisis",14
"from a decade of conflict abroad and economic crisis at",14
"parks pass is required for all vehicles entering the park",14
"state parks pass is required for all vehicles entering the",14
"two stocks rose for every one that fell on the",14
"was cited for driving with a suspended or revoked license",14
"at the rock and roll hall of fame and museum",13
"commissioner's office as the base to run a criminal enterprise",13
"county commissioner's office as the base to run a criminal",13
"he was lodged in the cumberland county jail in lieu",13
"his county commissioner's office as the base to run a",13
"it states that an officer engaged in a lawful stop",13
"passed by a strong majority of a democratically elected congress",13
"was inducted into the rock and roll hall of fame",13
"a law that was passed by a strong majority of",12
"barrel in electronic trading on the new york mercantile exchange",12
"guilty to six criminal counts related to campaign finance violations",12
"has a margin of error of plus or minus 3",12
"inducted into the rock and roll hall of fame in",12
"law that was passed by a strong majority of a",12
"not guilty to six criminal counts related to campaign finance",12
"pleaded not guilty to six criminal counts related to campaign",12
"that was passed by a strong majority of a democratically",12
"the port authority of new york and new jersey said",12
"time in electronic trading on the new york mercantile exchange",12
"was passed by a strong majority of a democratically elected",12
"a bar that has amazingly good deals on drinks and",11
"as we emerge from a decade of conflict abroad and",11
"asked readers to tell us their best memory at an",11
"at the university of medicine and dentistry of new jersey",11
"bar that has amazingly good deals on drinks and food",11
"do you know of a bar that has amazingly good",11
"has pleaded not guilty to six criminal counts related to",11
"know of a bar that has amazingly good deals on",11
"man was cited for driving with a suspended or revoked",11
"of a bar that has amazingly good deals on drinks",11
"readers to tell us their best memory at an indians",11
"singapore time in electronic trading on the new york mercantile",11
"spoke on condition of anonymity because of the sensitivity of",11
"to tell us their best memory at an indians game",11
"two stocks fell for every one that rose on the",11
"used his county commissioner's office as the base to run",11
"we asked readers to tell us their best memory at",11
"we emerge from a decade of conflict abroad and economic",11
"you know of a bar that has amazingly good deals",11
"a state crime to be in the country illegally and",10
"about sales of residential properties was provided by mls for",10
"alleging that he used his county commissioner's office as the",10
"and the port authority of new york and new jersey",10
"are out of work but not looking for jobs aren't",10
"by the port authority of new york and new jersey",10
"condition of anonymity because they were not authorized to speak",10
"following information about sales of residential properties was provided by",10
"he used his county commissioner's office as the base to",10
"information about sales of residential properties was provided by mls",10
"of the university of medicine and dentistry of new jersey",10
"opinion shapers are chosen annually to write columns on topics",10
"our troops launched the operation that killed osama bin laden",10
"out of work but not looking for jobs aren't counted",10
"people who are out of work but not looking for",10
"pregnant mistress as he sought the white house in 2008",10
"shapers are chosen annually to write columns on topics of",10
"that he used his county commissioner's office as the base",10
"the following information about sales of residential properties was provided",10
"who are out of work but not looking for jobs",10
"also available for download beginning monday or tuesday at www",9
"also download our cleveland indians app for android to get",9
"and has a margin of error of plus or minus",9
"and the university of medicine and dentistry of new jersey",9
"annually to write columns on topics of interest to them",9
"app for android to get tribe updates on your mobile",9
"are chosen annually to write columns on topics of interest",9
"arrested in the 2300 block of madison avenue on a",9
"at least two anonymous visits to each restaurant and do",9
"at the chargers is in complete shock and disbelief right",9
"bring a large pot of salted water to a boil",9
"built creates an average of three jobs for a year",9
"can also download our cleveland indians app for android to",9
"chairman of the house committee on oversight and government reform",9
"charged with possession of less than 50 grams of marijuana",9
"check out the off the beaten aisle column over on",9
"chosen annually to write columns on topics of interest to",9
"cleveland indians app for android to get tribe updates on",9
"creates an average of three jobs for a year and",9
"dealer reviewers make at least two anonymous visits to each",9
"doing and send their prayers to junior and his family",9
"download our cleveland indians app for android to get tribe",9
"everyone at the chargers is in complete shock and disbelief",9
"extraordinary step of overturning a law that was passed by",9
"for android to get tribe updates on your mobile device",9
"for the port authority of new york and new jersey",9
"from the port authority of new york and new jersey",9
"home built creates an average of three jobs for a",9
"hoynsie or click here for a live game box score",9
"in the 2300 block of madison avenue on a charge",9
"indians app for android to get tribe updates on your",9
"is also available for download beginning monday or tuesday at",9
"it is also available for download beginning monday or tuesday",9
"law makes it a state crime to be in the",9
"least two anonymous visits to each restaurant and do not",9
"make at least two anonymous visits to each restaurant and",9
"of overturning a law that was passed by a strong",9
"our cleveland indians app for android to get tribe updates",9
