"ngrams","Freq"
"thank you so much for",835
"thanks for the shout out",722
"can't wait to see you",708
"let me know if you",661
"at the end of the",644
"thanks so much for the",625
"thank you for the follow",600
"i love you so much",568
"is going to be a",548
"keep up the good work",537
"it's going to be a",533
"i can't wait to see",496
"hope you have a great",481
"for the first time in",427
"thank you for the rt",420
"happy mother's day to all",417
"that awkward moment when you",410
"in the middle of the",392
"let us know if you",390
"for the rest of the",383
"this is going to be",382
"am i the only one",366
"for a chance to win",347
"happy mothers day to all",343
"hope to see you there",331
"to be a part of",328
"thanks for the heads up",325
"hope you had a great",319
"looking forward to seeing you",319
"going to be a great",315
"can't wait to see the",306
"the end of the day",304
"you so much for the",293
"keep up the great work",272
"to everyone who came out",268
"i want to go to",265
"look forward to seeing you",264
"i hope you have a",256
"let me know what you",252
"i think i'm going to",247
"thanks to everyone who came",246
"going to be a good",240
"the rest of the day",236
"let us know what you",234
"by the end of the",232
"had a great time at",232
"you have a great day",228
"i have no idea what",227
"is it just me or",226
"mother's day to all the",226
"can't wait to see it",221
"thanks for the kind words",221
"i wish i had a",220
"what do you think of",220
"mothers day to all the",214
"on my way to the",212
"thank you to everyone who",211
"are you going to be",210
"can't wait to see what",210
"thanks for the follow and",206
"i have to go to",205
"is one of the best",204
"let me know when you",202
"if you have any questions",201
"looking forward to your tweets",200
"thank you for the mention",199
"hope to see you at",193
"hope to see you soon",193
"me know what you think",191
"it would mean the world",189
"wish i could be there",189
"hope everyone is having a",185
"i would love to see",184
"to figure out how to",184
"mean the world to me",183
"thanks for the follow back",183
"us know what you think",182
"i the only one who",181
"i'm not the only one",181
"hope you are having a",180
"can you please follow me",179
"be sure to check out",178
"get real rewards just for",178
"going to be a long",178
"real rewards just for watching",178
"rewards just for watching tv",178
"thank you for your support",176
"don't know what to do",174
"me know if you need",172
"thanks for spreading the word",171
"there are a lot of",171
"today is going to be",169
"i need to go to",168
"so much for the follow",168
"hope all is well with",167
"i can't wait for the",167
"to all my new followers",167
"i don't want to be",165
"i don't know what to",164
"cake cake cake cake cake",163
"thank you for following me",162
"we had a great time",162
"all i can say is",161
"is one of the most",161
"it is going to be",161
"keep an eye out for",161
"i have a lot of",160
"we hope to see you",160
"a chance to win a",158
"i'm going to have to",158
"the middle of the night",158
"can i get a follow",157
"the rest of my life",157
"what are you up to",156
"all i want to do",155
"i can't wait to get",155
"hope everyone had a great",154
"so much for the rt",154
"would mean the world to",154
"i want to do is",153
"is one of my favorite",153
"and the rest of the",151
"what do you think about",151
"if you want to be",150
"would love to see you",149
"all is well with you",148
"know if you have any",148
"when i was a kid",148
"everyone who came out to",147
"i had a great time",147
"will never be the same",147
"it is what it is",143
"will you please follow me",143
"i know what you mean",142
"i wish i could be",142
"the end of the month",142
"hope you had a good",141
"i don't even know what",141
"would you like to see",141
"hope you have a good",139
"hope you're having a great",139
"what are you going to",139
"when was the last time",139
"a great time at the",138
"what are you doing to",138
"i don't know how to",137
"trying to figure out how",137
"ass ass ass ass ass",136
"has nothing to do with",136
"please please please please please",136
"to be a good day",136
"thanks to all who came",135
"don't want to go to",134
"is going to be the",134
"that awkward moment when your",134
"be a part of the",133
"somebody that i used to",133
"that i used to know",133
"may the fourth be with",132
"i am looking forward to",131
"let us know if we",131
"we look forward to seeing",131
"be the death of me",130
"thanks for letting me know",129
"to see you at the",129
"what did you think of",129
"thank you for all the",128
"hope everyone has a great",127
"hope you can make it",127
"thank you for following us",127
"hope you all have a",126
"the fourth be with you",126
"to be one of the",126
"would love to have you",126
"is a great way to",125
"you know what that means",125
"for your chance to win",124
"i don't know if i",124
"i wish i could go",124
"in the middle of a",124
"looking forward to a great",124
"us know if we can",124
"what are you talking about",124
"you have no idea how",124
"look forward to your tweets",123
"follow me so i can",122
"i feel the same way",122
"i just want to be",122
"a smile on my face",121
"are you going to the",121
"i won't be able to",121
"want to go to the",121
"can't wait to see my",120
"no no no no no",120
"way to start the day",120
"what do you want to",120
"when are you coming to",120
"are you going to do",119
"the rest of the week",119
"for following me on twitter",118
"if you would like to",118
"when are you going to",118
"for the rest of my",117
"i hope you feel better",117
"let me know how it",117
"there is no such thing",117
"us know if you need",117
"we are looking forward to",117
"what are your plans for",117
"hope you have a wonderful",115
"let me know if i",115
"thanks for following me on",115
"day to all the moms",114
"i miss you so much",114
"the end of the world",114
"the other side of the",114
"us know if you have",114
"hope to see you again",113
"i think i need to",113
"i was the only one",113
"its going to be a",113
"off to a great start",113
"to all who came out",113
"today is the last day",113
"everything happens for a reason",112
"how do you feel about",112
"i want to be a",112
"i hope all is well",111
"thank you to all of",111
"and most oral care products",110
"as soon as i get",110
"have to check it out",110
"i don't want to go",110
"on my way to work",110
"cant wait to see you",109
"i cant wait to see",109
"may the 4th be with",109
"thank you to all the",109
"an hour and a half",108
"hunter matt hunter matt hunter",108
"i don't give a fuck",108
"is no such thing as",108
"on the other side of",107
"the 4th be with you",107
"the rest of your life",107
"best of luck to you",106
"o to my new follower",106
"we can't wait to see",106
"everyone is having a great",105
"matt hunter matt hunter matt",105
"run with a time of",105
"the end of the year",105
"today was a good day",105
"i'm so proud of you",104
"on the way to the",104
"the rest of the world",104
"great way to start the",103
"see what i can do",103
"you had a good time",103
"all i have to say",102
"i love you so so",102
"if you want me to",102
"the first time in a",102
"trying to figure out what",102
"we'd love to have you",102
"when you get a chance",102
"a great way to start",101
"happy mothers day to my",101
"hope to see you all",101
"hope you are doing well",101
"looking forward to working with",101
"me know if i can",101
"would you be interested in",101
"you so so so much",101
"it would mean so much",100
"thanks so much for following",100
"this is the first time",100
"you don't have to be",100
"you have a great weekend",100
"hey i just met you",99
"thanks so much for your",99
"you are having a great",99
"forward to working with you",98
"hope to see you in",98
"i love u so much",98
"looking forward to meeting you",98
"love you so so so",98
"what do you call a",98
"but i don't want to",97
"happy new year to you",97
"i was thinking the same",97
"is right around the corner",97
"know what to do with",97
"the awkward moment when you",97
"want to go to school",97
"wanted to let you know",97
"was thinking the same thing",97
"day to all the mothers",96
"i really don't want to",96
"i thought it would be",96
"nice to meet you too",96
"thanks for the rt and",96
"wfuv to tag this song",96
"you had a great time",96
"be a part of it",95
"i need to get my",95
"i think i have a",95
"it was great to see",95
"to get out of the",95
"you know what i mean",95
"be able to make it",94
"can't wait for you to",94
"i don't think i can",94
"it was great to meet",94
"on the side of the",94
"one day at a time",94
"the rest of the night",94
"to talk to you about",94
"a big thank you to",93
"i hope you had a",93
"i will let you know",93
"it was great meeting you",93
"me know if you want",93
"so i don't have to",93
"the end of the week",93
"to get out of bed",93
"wait to see you in",93
"you so much for your",93
"can't wait to get my",92
"i am going to be",92
"is there a way to",92
"you know who you are",92
"every once in a while",91
"i just finished a 3",91
"i thought i was the",91
"just got back from the",91
"just got off the phone",91
"this is gonna be a",91
